Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L)
20241231-A,Playa Grande,Pucón,"19,38","7,5","262,4","93,6","8,18",70,64,35,"0,0","20,6","14,31",2,2,0,0,0,"0,003"
20241231-B,Playa Carmelito,Pucón,"19,87","8,21","239,1","107,5","9,04",63,60,32,"0,0","22,67","14,321",2,3,1,0,0,"0,003"
20241231-C,Playa Los Chilcos,Villarrica,"15,78","7,88","239,0","87,1","7,45",64,60,32,"0,1","21,71","14,309",3,3,1,0,1,"-0,018"
20241231-D,Playa Linda,Villarrica,"16,60","8,67","212,6","103,4","9,16",66,60,33,"0,6","19,92","14,313",2,3,1,1,2,"-0,021"
20241231-E,Playa Pucará,Villarrica,"17,03","8,50","209,1","97,4","8,83",60,53,30,"2,6","18,81","14,317",1,1,0,0,2,"0,018"
20250103-C,Playa Los Chilcos,Villarrica,"24,18","7,90","230,1","96,3","8,07",53,51,27,"0,0","22,73","14,295",1,2,0,0,0,"0,011"
20250106-A,Playa Grande,Pucón,"20,94","7,78","236,6","102,4","8,59",48,46,24,90,"22,54","14,256",0,0,0,1,2,"0,013"
20250106-B,Playa Carmelito,Pucón,"23,76","8,32","231,6","101,9","8,33",43,42,22,"0,0","23,91","14,271",0,0,0,1,2,"0,008"
20250106-C,Playa Los Chilcos,villarrica,"24,76","8,35","229,2","94,5","7,84",37,36,18,"0,0","23,23","14,291",0,0,0,1,2,"0,007"
20250106-D,Playa Linda,Villarrica,"25,50","9,14","206,2","123,4","10,20",46,44,23,"0,0","23,48","14,304",0,0,0,0,0,"0,006"
20250106-E,Playa Pucará,Villarrica,"30,19","8,13","212,2","102,6","8,26",45,44,22,"4,2","24,85","14,296",0,0,0,0,0,"0,007"
20250108-A,Playa Grande,Pucón,"19,12","7,59","252,5","91,2","7,71",49,47,25,"0,4","22,21","14,29",2,2,0,0,2,"0,012"
20250108-B,Playa Carmelito,Pucón,"21,93","8,30","253,2","102,9","8,47",45,44,22,"0,0","23,74","14,30",1,0,1,0,0,"0,011"
20250108-C,Playa Los Chilcos,Villarrica,"23,3","8,19","236,7","101,8","8,41",40,39,20,"0,6","23,45","14,288",3,3,0,0,0,"0,014"
20250102-E,Playa Pucará,Villarrica,"23,08","8,43","225,7",104,"8,81",33,31,16,"2,8","22,14","14,297",1,1,0,0,0,"0,011"
20250109-A,Playa Grande,Pucón,"21,22","7,43","213,7","94,2","7,88",25,24,12,"1,2","22,75","14,286",1,3,0,0,0,"0,022"
20250109-B,Playa Carmelito,Pucón,"21,52","8,39","198,1","95,7","7,73",71,71,36,0,"24,65","14,287",3,3,1,0,0,"0,009"
20250109-C,Playa Los Chilcos,Villarrica,"27,09","8,52",205,"109,4","8,95",69,67,34,"0,1","24,03","14,297",3,3,1,0,0,"0,007"
20250109-D,Playa Linda,Villarrica,"26,88","8,5","180,1","107,3","9,08",66,62,33,0,"22,22","14,298",3,2,1,0,0,"0,011"
20250109-E,Playa Pucará,Villarrica,"27,02","8,61","197,9","111,2","9,66",41,37,20,"4,2","20,83","14,296",1,2,0,0,0,"0,016"
20250110-A,Playa Grande,Pucón,"25,02","7,5","224,6","101,1","8,45",66,63,33,"0,2","22,84","14,286",0,1,0,1,0,"0,012"
20250110-B,Playa Carmelito,Pucón,"27,03","8,24","226,1","111,5","9,1",56,54,28,0,"23,67","14,29",0,1,0,0,0,"0,011"
20250110-C,Playa Los Chilcos,Villarrica,"28,15","8,19","215,5","100,6","8,24",46,45,23,0,"23,61","14,308",1,1,0,0,0,"0,011"
20250110-D,Playa Linda,Villarrica,"28,5","8,56","224,1","105,4","8,83",43,41,22,0,"22,77","14,307",1,2,0,1,0,"0,014"
20250110-E,Playa Pucará,Villarrica,"27,19","8,43","212,1","101,9","8,33",40,39,20,"4,7","24,07","14,3",1,2,0,0,0,"0,012"
20250111-A,Playa Grande,Pucón,"19,28","7,85","245,2","95,9","8,12",53,50,27,"0,3","22,04","14,267",1,1,0,1,0,"0,015"
20250111-F,Playa El Plata,Pucón,"20,25","8,14","242,5","109,4","8,89",50,49,25,"0,2","24,19","14,254",0,0,0,0,0,"0,013"
20250113-A,Playa Grande,Pucón,"18,9","7,8","238,2","97,8","8,1",69,67,35,"0,2","23,28","14,288",2,1,0,0,2,"0,011"
20250113-B,Playa Carmelito,Pucón,"23,8","8,44","209,4","108,7","8,72",61,61,31,"0,1","25,04","14,288",2,1,0,1,0,"0,009"
20250113-C,Playa Los Chilcos,Villarrica,"21,6","8,27","205,8","101,1","8,2",49,49,25,"0,2","24,52","14,298",2,1,0,1,0,"0,011"
20250113-D,Playa Linda,Villarrica,"23,33","8,88","198,8","110,9","9,05",60,59,30,"0,3","24,1","14,296",2,1,0,1,0,"0,009"
20250113-E,Playa Pucará,Villarrica,"23,6","8,57",213,"106,9","9,17",61,57,30,2.3,"21,52","14,296",1,1,0,0,0,"0,009"
20250116-A,Playa Grande,Pucón,"17,22","7,72","259,9","86,7","7,46",66,61,33,"0,9","21,36","14,309",2,2,0,0,2,"0,013"
20250116-B,Playa Carmelito,Pucón,"22,41","8,55","224,9","102,2","8,47",58,56,29,"0,3","23,46","14,325",2,2,1,0,0,"0,007"
20250116-C,Playa Los Chilcos,Villarrica,"23,52","8,54","213,8","99,0","8,28",58,56,29,"0,0","22,98","14,336",2,2,0,0,2,"0,007"
20250116-D,Playa Linda,Villarrica,"21,13","8,29","216,4","94,4","8,00",57,54,28,"0,3","22,29","14,338",2,2,0,0,0,"0,009"
20250116-E,Playa Pucará,Villarrica,"19,96","8,41","209,6","87,6","7,41",56,53,28,"0,7","22,40","14,342",1,1,1,0,2,"0,009"
20250117-A,Playa Grande,Pucón,"19,73","7,48","216,7","80,1","6,91",79,69,37,"1,1","21,30","14,322",3,3,0,0,0,"0,016"
20250117-B,Playa Carmelito,Pucón,"21,63","8,42","228,4","103,8","8,65",56,54,28,"0,0","23,18","14,326",3,3,0,1,0,"0,008"
20250117-C,Playa Los Chilcos,Villarrica,"19,80","8,47","222,1","96,8","8,04",57,56,29,"0,1","23,36","14,337",3,3,0,0,0,"0,009"
20250117-D,Playa Linda,Villarrica,"22,80","8,33","230,4","95,7","8,11",57,54,28,"0,0","22,35","14,347",2,2,0,1,0,"0,008"
20250117-E,Playa Pucará,Villarrica,"29,8","8,46","187,9","120,7","10,24",54,52,27,"2,8","22,32","14,355",1,1,0,0,0,"0,016"
