Día ,Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L),Nitrógeno amoniacal (mg/L)
16/01/2025,20250116-A,Playa Grande,Pucón,"17,22","7,72","259,9","86,7","7,46",66,61,33,"0,9","21,36","14,309",2,2,0,0,2,"0,013","0,053"
16/01/2025,20250116-B,Playa Carmelito,Pucón,"22,41","8,55","224,9","102,2","8,47",58,56,29,"0,3","23,46","14,325",2,2,1,0,0,"0,007","0,245"
16/01/2025,20250116-C,Playa Los Chilcos,Villarrica,"23,52","8,54","213,8","99,0","8,28",58,56,29,"0,0","22,98","14,336",2,2,0,0,2,"0,007","0,403"
16/01/2025,20250116-D,Playa Linda,Villarrica,"21,13","8,29","216,4","94,4","8,00",57,54,28,"0,3","22,29","14,338",2,2,0,0,0,"0,009","0,333"
16/01/2025,20250116-E,Playa Pucará,Villarrica,"19,96","8,41","209,6","87,6","7,41",56,53,28,"0,7","22,40","14,342",1,1,1,0,2,"0,009","0,263"
20/01/2025,20250120-A,Playa Grande,Pucón,"19,55","7,74","225,6","103,2","8,66",45,43,23,"0,8","22,58","14,628",1,1,0,0,0,"0,015","0,158"
20/01/2025,20250120-B,Playa Carmelito,Pucón,"27,16","8,61","226,2","11,8","9,24",44,43,22,"0,6","23,34","14,271",0,1,1,0,2,"0,007","0,21"
20/01/2025,20250120-C,Playa Los Chilcos,Villarrica,"24,84","8,48","204,3","99,9","8,22",44,43,22,"0,0","23,72","14,290",1,3,1,0,2,"0,009","0,245"
20/01/2025,20250120-D,Playa Linda,Villarrica,"25,78","8,35","216,0","107,4","9,0",47,45,23,"0,1","22,67","14,280",2,3,0,1,2,"0,007","0,245"
20/01/2025,20250120-E,Playa Pucará,Villarrica,"25,42","8,38","214,8","108,4","9,07",45,43,22,"4,4","22,74","14,249",2,2,0,1,2,"0,011","0,315"
